"Title","Submission Target","Date","Type","First Author","Other Authors","Key (e.g. for file names)","Publisher URL (official)","url2","PDF URL (public)","Video","Video2","Supplemental","Acknowledgements","Abstract","bibtex","notes","funding"
"Optimizing Color Assignment for Perception of Class Separability in Multiclass Scatterplots","TVCG","2018-08-20",,"Yunhai Wang","Xin Chen, Tong Ge, Chen Bao, Michael Sedlmair, Chi-Wing Fu, Oliver Deussen, Baoquan Chen","wang2019color","https://doi.org/10.1109/TVCG.2018.2864912",,,,,,,"Appropriate choice of colors significantly aids viewers in understanding the structures in multiclass scatterplots and becomes more important with a growing number of data points and groups. An appropriate color mapping is also an important parameter for the creation of an aesthetically pleasing scatterplot. Currently, users of visualization software routinely rely on color mappings that have been pre-defined by the software. A default color mapping, however, cannot ensure an optimal perceptual separability between groups, and sometimes may even lead to a misinterpretation of the data. In this paper, we present an effective approach for color assignment based on a set of given colors that is designed to optimize the perception of scatterplots. Our approach takes into account the spatial relationships, density, degree of overlap between point clusters, and also the background color. For this purpose, we use a genetic algorithm that is able to efficiently find good color assignments. We implemented an interactive color assignment system with three extensions of the basic method that incorporates top K suggestions, user-defined color subsets, and classes of interest for the optimization. To demonstrate the effectiveness of our assignment technique, we conducted a numerical study and a controlled user study to compare our approach with default color assignments; our findings were verified by two expert studies. The results show that our approach is able to support users in distinguishing cluster numbers faster and more precisely than default assignment methods.","@ARTICLE{8440853,
  author={Wang, Yunhai and Chen, Xin and Ge, Tong and Bao, Chen and Sedlmair, Michael and Fu, Chi-Wing and Deussen, Oliver and Chen, Baoquan},
  journal={IEEE Transactions on Visualization and Computer Graphics}, 
  title={Optimizing Color Assignment for Perception of Class Separability in Multiclass Scatterplots}, 
  year={2019},
  volume={25},
  number={1},
  pages={820-829},
  doi={10.1109/TVCG.2018.2864912}}
",,
"Structure-aware Fisheye Views for Efficient Large Graph Exploration","TVCG","2018-08-21",,"Yunhai Wang","Yanyan Wang, Haifeng Zhang, Yinqi Sun, Chi-Wing Fu, Michael Sedlmair, Baoquan Chen, Oliver Deussen","wang2019fisheye","https://doi.org/10.1109/TVCG.2018.2864911",,,,,,,"Traditional fisheye views for exploring large graphs introduce substantial distortions that often lead to a decreased readability of paths and other interesting structures. To overcome these problems, we propose a framework for structure-aware fisheye views. Using edge orientations as constraints for graph layout optimization allows us not only to reduce spatial and temporal distortions during fisheye zooms, but also to improve the readability of the graph structure. Furthermore, the framework enables us to optimize fisheye lenses towards specific tasks and design a family of new lenses: polyfocal, cluster, and path lenses. A GPU implementation lets us process large graphs with up to 15,000 nodes at interactive rates. A comprehensive evaluation, a user study, and two case studies demonstrate that our structure-aware fisheye views improve layout readability and user performance.","@ARTICLE{8440835,
  author={Wang, Yunhai and Wang, Yanyan and Zhang, Haifeng and Sun, Yinqi and Fu, Chi-Wing and Sedlmair, Michael and Chen, Baoquan and Deussen, Oliver},
  journal={IEEE Transactions on Visualization and Computer Graphics}, 
  title={Structure-aware Fisheye Views for Efficient Large Graph Exploration}, 
  year={2019},
  volume={25},
  number={1},
  pages={566-575},
  doi={10.1109/TVCG.2018.2864911}}
",,
"Immersive VisualAudioDesign: Spectral Editing in VR","Audio Mostly","2018-09-12","Full Paper","Lars Engeln","Natalie Hube, Rainer Groh","engeln2018immersive","https://doi.org/10.1145/3243274.3243279",,,,,,,"VisualAudioDesign (VAD) is an attempt to design audio in a visual way. The frequency-domain visualized as a spectrogram construed as pixel data can be manipulated with image filters. Thereby, an approach is described to get away from direct DSP parameter manipulation to a more comprehensible sound design. Virtual Reality (VR) offers immersive insights into data and embodied interaction in the virtual environment. VAD and VR combined enrich spectral editing with a natural work-flow. Therefore, a design paper prototype for interaction with audio data in an virtual environment was used and examined.","@inproceedings{10.1145/3243274.3243279,
author = {Engeln, Lars and Hube, Natalie and Groh, Rainer},
title = {Immersive VisualAudioDesign: Spectral Editing in VR},
year = {2018},
isbn = {9781450366090},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3243274.3243279},
doi = {10.1145/3243274.3243279},
abstract = {VisualAudioDesign (VAD) is an attempt to design audio in a visual way. The frequency-domain visualized as a spectrogram construed as pixel data can be manipulated with image filters. Thereby, an approach is described to get away from direct DSP parameter manipulation to a more comprehensible sound design. Virtual Reality (VR) offers immersive insights into data and embodied interaction in the virtual environment. VAD and VR combined enrich spectral editing with a natural work-flow. Therefore, a design paper prototype for interaction with audio data in an virtual environment was used and examined.},
booktitle = {Proceedings of the Audio Mostly 2018 on Sound in Immersion and Emotion},
articleno = {38},
numpages = {4},
keywords = {Immersive Analytics, VisualAudioDesign, Virtual Reality, Paper Prototype, Spectral Editing, Immersive Audio},
location = {Wrexham, United Kingdom},
series = {AM'18}
}",,
"Studying Biases in Visualization Research: Framework and Methods","Cognitive Biases in Visualizations, Springer","2018-09-28","Book Chapter","André Calero Valdez","Martina Ziefle, Michael Sedlmair","calero2018bias","https://doi.org/10.1007/978-3-319-95831-6_2",,,,,,,"In this chapter, we propose and discuss a lightweight framework to help organize research questions that arise around biases in visualization and visual analysis. We contrast our framework against the cognitive bias codex by Buster Benson. The framework is inspired by Norman’s Human Action Cycle and classifies biases into three levels: perceptual biases, action biases, and social biases. For each of the levels of cognitive processing, we discuss examples of biases from the cognitive science literature and speculate how they might also be important to the area of visualization. In addition, we put forward a methodological discussion on how biases might be studied on all three levels, and which pitfalls and threats to validity exist. We hope that the framework will help spark new ideas and guide researchers that study the important topic of biases in visualization.","@Inbook{CaleroValdez2018,
author=""Calero Valdez, Andr{\'e}
and Ziefle, Martina
and Sedlmair, Michael"",
editor=""Ellis, Geoffrey"",
title=""Studying Biases in Visualization Research: Framework and Methods"",
bookTitle=""Cognitive Biases in Visualizations"",
year=""2018"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""13--27"",
abstract=""In this chapter, we propose and discuss a lightweight framework to help organize research questions that arise around biases in visualization and visual analysis. We contrast our framework against the cognitive bias codex by Buster Benson. The framework is inspired by Norman's Human Action Cycle and classifies biases into three levels: perceptual biases, action biases, and social biases. For each of the levels of cognitive processing, we discuss examples of biases from the cognitive science literature and speculate how they might also be important to the area of visualization. In addition, we put forward a methodological discussion on how biases might be studied on all three levels, and which pitfalls and threats to validity exist. We hope that the framework will help spark new ideas and guide researchers that study the important topic of biases in visualization."",
isbn=""978-3-319-95831-6"",
doi=""10.1007/978-3-319-95831-6_2"",
url=""https://doi.org/10.1007/978-3-319-95831-6_2""
}",,
"Effect of Using HMDs for One Hour on Preteens Visual Fatigue","ISMAR","2018-10-16","Poster","Xingyao Yu","Dongdong Weng, Jie Guo, Haiyan Jiang, Yihua Bao","yu2018effect","https://doi.org/10.1109/ISMAR-Adjunct.2018.00042",,,,,,,"We designed a within-subject experiment to compare visual discomfort to preteen users caused by using head-mounted displays (HMD) and tablet computers for an hour. 18 participants younger than 13 years old were recruited to fulfill a series of similar painting tasks under both display conditions. Visual fatigue was measured with visual analog scale before and after experiment and during the break of experiment. The results indicated that HMD had a trend to bring higher visual fatigue than tablet computer during the exposure of 1 hour. Although the symptoms of visual discomfort disappeared after resting, there is need for preteen-specific head-mounted displays.","@INPROCEEDINGS{8699249,
  author={Yu, Xingyao and Weng, Dongdong and Guo, Jie and Jiang, Haiyan and Bao, Yihua},
  booktitle={2018 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct)}, 
  title={Effect of Using HMDs for One Hour on Preteens Visual Fatigue}, 
  year={2018},
  pages={93-96},
  doi={10.1109/ISMAR-Adjunct.2018.00042}}
",,
"LTMA: Layered Topic Matching for the Comparative Exploration, Evaluation, and Refinement of Topic Modeling Results","BDVA","2018-11-15",,"Mennatallah El-Assady","Fabian Sperrle, Rita Sevastjanova, Michael Sedlmair, Daniel Keim","elassady2018ltma","https://doi.org/10.1109/BDVA.2018.8534018",,,,,,,"We present LTMA, a Layered Topic Matching approach for the unsupervised comparative analysis of topic modeling results. Due to the vast number of available modeling algorithms, an efficient and effective comparison of their results is detrimental to a data- and task-driven selection of a model. LTMA automates this comparative analysis by providing topic matching based on two layers (document-overlap and keyword-similarity), creating a novel topic-match data structure. This data structure builds a basis for model exploration and optimization, thus, allowing for an efficient evaluation of their performance in the context of a given type of text data and task. This is especially important for text types where an annotated gold standard dataset is not readily available and, therefore, quantitative evaluation methods are not applicable. We confirm the usefulness of our technique based on three use cases, namely: (1) the automatic comparative evaluation of topic models, (2) the visual exploration of topic modeling differences, and (3) the optimization of topic modeling results through combining matches.","@INPROCEEDINGS{8534018,
  author={El-Assady, Mennatallah and Sperrle, Fabian and Sevastjanova, Rita and Sedlmair, Michael and Keim, Daniel},
  booktitle={2018 International Symposium on Big Data Visual and Immersive Analytics (BDVA)}, 
  title={LTMA: Layered Topic Matching for the Comparative Exploration, Evaluation, and Refinement of Topic Modeling Results}, 
  year={2018},
  pages={1-10},
  doi={10.1109/BDVA.2018.8534018}}
",,
"Visual Analysis of Degree-of-Interest Functions to Support Selection Strategies for Instance Labeling","EuroVA","2019-01-01",,"Jürgen Bernard","Marco Hutter, Christian Ritter, Markus Lehmann, Michael Sedlmair, Matthias Zeppelzauer","bernard2019eurova","https://doi.org/10.2312/eurova.20191116",,,,,,,"Manually labeling data sets is a time-consuming and expensive task that can be accelerated by interactive machine learning and visual analytics approaches. At the core of these approaches are strategies for the selection of candidate instances to label. We introduce degree-of-interest (DOI) functions as atomic building blocks to formalize candidate selection strategies. We introduce a taxonomy of DOI functions and an approach for the visual analysis of DOI functions, which provide novel complementary views on labeling strategies and DOIs, support their in-depth analysis and facilitate their interpretation. Our method shall support the generation of novel and better explanation of existing labeling strategies in future.","@inproceedings {10.2312:eurova.20191116,
booktitle = {EuroVis Workshop on Visual Analytics (EuroVA)},
editor = {Landesberger, Tatiana von and Turkay, Cagatay},
title = {{Visual Analysis of Degree-of-Interest Functions to Support Selection Strategies for Instance Labeling}},
author = {Bernard, Jürgen and Hutter, Marco and Ritter, Christian and Lehmann, Markus and Sedlmair, Michael and Zeppelzauer, Matthias},
year = {2019},
publisher = {The Eurographics Association},
ISBN = {978-3-03868-087-1},
DOI = {10.2312/eurova.20191116}
}",,
"Interactive CPU-based Ray Tracing of Solvent Excluded Surfaces","VCBM 19: Eurographics Workshop on Visual Computing for Biology and Medicine","2019-01-01","Workshop Paper","Tobias Rau","Sebastian Zahn, Michael Krone, Guido Reina, Thomas Ertl","rau2019interactive","https://doi.org/10.2312/vcbm.20191249","https://diglib.eg.org/handle/10.2312/vcbm20191249","https://diglib.eg.org/bitstreams/9ccb687b-d219-463f-ac21-8591239a18c1/download","https://diglib.eg.org/bitstreams/80ff1321-d705-4e1d-b442-b2e06fdc1662/download",,,,"Depictions of molecular surfaces such as the Solvent Excluded Surface (SES) can provide crucial insight into functional molecular properties, such as the molecule's potential to react. The interactive visualization of single and multiple molecule surfaces is essential for the data analysis by domain experts. Nowadays, the SES can be rendered at high frame rates using shader-based ray casting on the GPU. However, rendering large molecules or larger molecule complexes requires large amounts of memory that has the potential to exceed the memory limitations of current hardware. Here we show that rendering using CPU ray tracing also reaches interactive frame rates without hard limitations to memory. In our results large molecule complexes can be rendered with only the precomputation of each individual SES, and no further involved representation or transformation. Additionally, we provide advanced visualization techniques like ambient occlusion opacity mapping (AOOM) to enhance the comprehensibility of the molecular structure. CPU ray tracing not only provides very high image quality and global illumination, which is beneficial for the perception of spatial structures, it also opens up the possibility to visualize larger data sets and to render on any HPC cluster. Our results demonstrate that simple instancing of geometry keeps the memory consumption for rendering large molecule complexes low, so the examination of much larger data is also possible.","@inproceedings{10.2312:vcbm.20191249
,
booktitle = {Eurographics Workshop on Visual Computing for Biology and Medicine
},
editor = {Kozlíková, Barbora and Linsen, Lars and Vázquez, Pere-Pau and Lawonn, Kai and Raidou, Renata Georgia
},
title = {{Interactive CPU-based Ray Tracing of Solvent Excluded Surfaces
}},
author = {Rau, Tobias and 
Zahn, Sebastian and 
Krone, Michael and 
Reina, Guido and 
Ertl, Thomas
},
year = {2019
},
publisher = {The Eurographics Association
},
ISSN = {2070-5786
},
ISBN = {978-3-03868-081-9
},
DOI = {10.2312/vcbm.20191249
}
}",,
"MegaMol - a comprehensive prototyping framework for visualizations","The European Physical Journal (Special Topics)","2019-03-08",,"Patrick Gralka","Michael Becher, Matthias Braun, Florian Frieß,
Christoph Müller, Tobias Rau, Karsten Schatz, Christoph Schulz,
Michael Krone, Guido Reina, Thomas Ertl","gralka2019megamol","https://doi.org/10.1140/epjst/e2019-800167-5",,,,,,,"We present MegaMol, a low-overhead prototyping framework for interactive visualization of large scientific data sets. We give a brief summary of related work for context and then focus on a comprehensive overview of the core architecture of the framework. This is followed by the existing and novel features and techniques in MegaMol that define its current functionality. MegaMol has originally been developed to support the visualization and analysis of particle-based data sets that, for instance, come from molecular dynamics simulations. Meanwhile, the software has evolved beyond that. New algorithms and techniques have been implemented to handle many diverse tasks, including information visualization. Additionally, improvements have been made on the software engineering side to make MegaMol more accessible for domain scientists, like an easy-to-handle scripting interface.","@article{Gralka2019Megamol,
  abstract = {We present MegaMol, a low-overhead prototyping framework for interactive visualization of large scientific data sets. We give a brief summary of related work for context and then focus on a comprehensive overview of the core architecture of the framework. This is followed by the existing and novel features and techniques in MegaMol that define its current functionality. MegaMol has originally been developed to support the visualization and analysis of particle-based data sets that, for instance, come from molecular dynamics simulations. Meanwhile, the software has evolved beyond that. New algorithms and techniques have been implemented to handle many diverse tasks, including information visualization. Additionally, improvements have been made on the software engineering side to make MegaMol more accessible for domain scientists, like an easy-to-handle scripting interface.},
  author = {Gralka, Patrick and Becher, Michael and Braun, Matthias and Frieß, Florian and Müller, Christoph and Rau, Tobias and Schatz, Karsten and Schulz, Christoph and Krone, Michael and Reina, Guido and Ertl, Thomas},
  doi = {10.1140/epjst/e2019-800167-5},
  issn = {1951-6401},
  journal = {The European Physical Journal (Special Topics)},
  number = 14,
  pages = {1817--1829},
  title = {MegaMol -- a comprehensive prototyping framework for visualizations},
  url = {https://doi.org/10.1140/epjst/e2019-800167-5},
  volume = {227: Particle Methods in Natural Science and Engineering},
  year = 2019
}",,
"Lessons Learned from Users Reading Highlighted Abstracts in a Digital Library","CHIIR","2019-03-08","Short Paper","Dagmar Kern","Daniel Hienert, Katrin Angerbauer, Tilman Dingler, Pia Borlund","kern2019lessons","https://doi.org/10.1145/3295750.3298950",,,,,,,"Finding relevant documents is essential for researchers of all disciplines. We investigated an approach for supporting searchers in their relevance decision in a digital library by automatically highlighting the most important keywords in abstracts. We conducted an eye-tracking study with 25 subjects and observed very different search and reading behavior which lead to diverse results. Some of the participants liked that highlighted abstracts accelerate their relevance decision, while others found that they disturb the reading flow. What many agree on is that the quality of highlighting is crucial for trust and system credibility.","@inproceedings{10.1145/3295750.3298950,
author = {Kern, Dagmar and Hienert, Daniel and Angerbauer, Katrin and Dingler, Tilman and Borlund, Pia},
title = {Lessons Learned from Users Reading Highlighted Abstracts in a Digital Library},
year = {2019},
isbn = {9781450360258},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3295750.3298950},
doi = {10.1145/3295750.3298950},
abstract = {Finding relevant documents is essential for researchers of all disciplines. We investigated an approach for supporting searchers in their relevance decision in a digital library by automatically highlighting the most important keywords in abstracts. We conducted an eye-tracking study with 25 subjects and observed very different search and reading behavior which lead to diverse results. Some of the participants liked that highlighted abstracts accelerate their relevance decision, while others found that they disturb the reading flow. What many agree on is that the quality of highlighting is crucial for trust and system credibility.},
booktitle = {Proceedings of the 2019 Conference on Human Information Interaction and Retrieval},
pages = {271–275},
numpages = {5},
keywords = {user study, highlighting, reading behavior, relevance judgment},
location = {Glasgow, Scotland UK},
series = {CHIIR '19}
}",,
"A Framework for Pervasive Visual Deficiency Simulation","VR","2019-03-23",,"Christoph Schulz","Nils Rodrigues, Marco Amann, Daniel Baumgartner, Arman Mielke, Christian Baumann, Michael Sedlmair, Daniel Weiskopf","schulz2019deficiencySim","https://doi.org/10.1109/VR44988.2019.9044164",,,,,,,"We present a framework for rapid prototyping of pervasive visual deficiency simulation in the context of graphical interfaces, virtual reality, and augmented reality. Our framework facilitates the emulation of various visual deficiencies for a wide range of applications, which allows users with normal vision to experience combinations of conditions such as myopia, hyperopia, presbyopia, cataract, nyctalopia, protanopia, deuteranopia, tritanopia, and achromatopsia. Our framework provides an infrastructure to encourage researchers to evaluate visualization and other display techniques regarding visual deficiencies, and opens up the field of visual disease simulation to a broader audience. The benefits of our framework are easy integration, configuration, fast prototyping, and portability to new emerging hardware. To demonstrate the applicability of our framework, we showcase a desktop application and an Android application that transform commodity hardware into glasses for visual deficiency simulation. We expect that this work promotes a greater understanding of visual impairments, leads to better product design for the visually impaired, and forms a basis for research to compensate for these impairments as everyday help.","@INPROCEEDINGS{9044164,
  author={Schulz, Christoph and Rodrigues, Nils and Amann, Marco and Baumgartner, Daniel and Mielke, Arman and Baumann, Christian and Sedlmair, Michael and Weiskopf, Daniel},
  booktitle={2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)}, 
  title={A Framework for Pervasive Visual Deficiency Simulation}, 
  year={2019},
  pages={1-6},
  doi={10.1109/VR44988.2019.9044164}}
",,
"Neighborhood Perception in Bar Charts","CHI","2019-05-01",,"Mingqian Zhao","Huamin Qu, Michael Sedlmair","zhao2019barperception","https://doi.org/10.1145/3290605.3300462",,,,,,,"In this paper, we report three user experiments that investigate in how far the perception of a bar in a bar chart changes based on the height of its neighboring bars. We hypothesized that the perception of the very same bar, for instance, might differ when it is surrounded by the top highest vs. the top lowest bars. Our results show that such neighborhood effects exist: a target bar surrounded by high neighbor bars, is perceived to be lower as the same bar surrounded with low neighbors. Yet, the effect size of this neighborhood effect is small compared to other data-inherent effects: the judgment accuracy largely depends on the target bar rank, number of data items, and other data characteristics of the dataset. Based on the findings, we discuss design implications for perceptually optimizing bar charts.","@inproceedings{10.1145/3290605.3300462,
author = {Zhao, Mingqian and Qu, Huamin and Sedlmair, Michael},
title = {Neighborhood Perception in Bar Charts},
year = {2019},
isbn = {9781450359702},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3290605.3300462},
doi = {10.1145/3290605.3300462},
abstract = {In this paper, we report three user experiments that investigate in how far the perception of a bar in a bar chart changes based on the height of its neighboring bars. We hypothesized that the perception of the very same bar, for instance, might differ when it is surrounded by the top highest vs. the top lowest bars. Our results show that such neighborhood effects exist: a target bar surrounded by high neighbor bars, is perceived to be lower as the same bar surrounded with low neighbors. Yet, the effect size of this neighborhood effect is small compared to other data-inherent effects: the judgment accuracy largely depends on the target bar rank, number of data items, and other data characteristics of the dataset. Based on the findings, we discuss design implications for perceptually optimizing bar charts.},
booktitle = {Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems},
pages = {1–12},
numpages = {12},
keywords = {visualization, empirical study that tells us about people},
location = {Glasgow, Scotland Uk},
series = {CHI '19}
}",,
"Effect of Orientation on Unistroke Touch Gestures","CHI","2019-05-02","Full Paper","Sven Mayer","Valentin Schwind, Huy Viet Le, Dominik Weber, Jonas Vogelsang, Johannes Wolf, Niels Henze","mayer2019effect","https://doi.org/10.1145/3290605.3300928","https://dl.acm.org/doi/abs/10.1145/3290605.3300928","https://dl.acm.org/doi/pdf/10.1145/3290605.3300928",,"https://www.youtube.com/watch?v=Ev30no1uSUU&embeds_referring_euri=https%3A%2F%2Fdl.acm.org%2F&source_ve_path=OTY3MTQ&feature=emb_imp_woyt","https://dl.acm.org/doi/abs/10.1145/3290605.3300928",,"As touchscreens are the most successful input method of current mobile devices, touch gestures became a widely used input technique. While gestures provide users with advantages to express themselves, they also introduce challenges regarding accuracy and memorability. In this paper, we investigate the effect of a gesture's orientation on how well the gesture can be performed. We conducted a study in which participants performed systematically rotated unistroke gestures. For straight lines as well as for compound lines, we found that users tend to align gestures with the primary axes. We show that the error can be described by a Clausen function with R² = .93. Based on our findings, we suggest design implications and highlight the potential for recognizing flick gestures, visualizing gestures and improving recognition of compound gestures.","@inproceedings{10.1145/3290605.3300928,
author = {Mayer, Sven and Schwind, Valentin and Le, Huy Viet and Weber, Dominik and Vogelsang, Jonas and Wolf, Johannes and Henze, Niels},
title = {Effect of Orientation on Unistroke Touch Gestures},
year = {2019},
isbn = {9781450359702},
publisher = {ACM},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3290605.3300928},
doi = {10.1145/3290605.3300928},
abstract = {As touchscreens are the most successful input method of current mobile devices, touch gestures became a widely used input technique. While gestures provide users with advantages to express themselves, they also introduce challenges regarding accuracy and memorability. In this paper, we investigate the effect of a gesture's orientation on how well the gesture can be performed. We conducted a study in which participants performed systematically rotated unistroke gestures. For straight lines as well as for compound lines, we found that users tend to align gestures with the primary axes. We show that the error can be described by a Clausen function with R² = .93. Based on our findings, we suggest design implications and highlight the potential for recognizing flick gestures, visualizing gestures and improving recognition of compound gestures.},
booktitle = {Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems},
pages = {1–9},
numpages = {9},
keywords = {touch unistroke gestures, mobile device, user study, gesture set, orientation, design guidelines, touch input},
location = {Glasgow, Scotland Uk},
series = {CHI '19}
}",,
"Visual Ensemble Analysis to Study the Influence of Hyper-parameters on Training Deep Neural Networks","EuroVis","2019-06-03","Workshop Paper","Sagad Hamid","Adrian Derstroff, Sören Klemm, Quynh Quang Ngo, Xiaoyi Jiang, Lars Linsen","hamid2019visual","https://doi.org/10.2312/mlvis.20191160",,,,,,,"A good deep neural network design allows for efficient training and high accuracy. The training step requires a suitable choice of several hyper-parameters. Limited knowledge exists on how the hyper-parameters impact the training process, what is the interplay of multiple hyper-parameters, and what is the interrelation of hyper-parameters and network topology. In this paper, we present a structured analysis towards these goals by investigating an ensemble of training runs.We propose a visual ensemble analysis based on hyper-parameter space visualizations, performance visualizations, and visualizing correlations of topological structures. As a proof of concept, we apply our approach to deep convolutional neural networks.","@inproceedings{DBLP:conf/mlvis-ws/HamidDKNJL19,
  author    = {Sagad Hamid and
               Adrian Derstroff and
               S{\""{o}}ren Klemm and
               Quynh Quang Ngo and
               Xiaoyi Jiang and
               Lars Linsen},
  editor    = {Daniel Archambault and
               Ian T. Nabney and
               Jaakko Peltonen},
  title     = {Visual Ensemble Analysis to Study the Influence of Hyper-parameters
               on Training Deep Neural Networks},
  booktitle = {2nd Workshop on Machine Learning Methods in Visualisation for Big
               Data, MLVis@EuroVis 2019, Porto, Portugal, June 3, 2019},
  pages     = {19--23},
  publisher = {Eurographics Association},
  year      = {2019},
  url       = {https://doi.org/10.2312/mlvis.20191160},
  doi       = {10.2312/mlvis.20191160},
  timestamp = {Wed, 10 Feb 2021 15:14:52 +0100},
  biburl    = {https://dblp.org/rec/conf/mlvis-ws/HamidDKNJL19.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}",,
"Voronoi-Based Foveated Volume Rendering","EuroVis","2019-07-03","Short Paper","Valentin Bruder","Christoph Schulz, Ruben Bauer, Steffen Frey, Daniel Weiskopf, Thomas Ertl","bruder2019voronoi-based","https://doi.org/10.2312/evs.20191172",,"https://diglib.eg.org/bitstream/handle/10.2312/evs20191172/067-071.pdf?sequence=1&isAllowed=y",,,,,"Foveal vision is located in the center of the field of view with a rich impression of detail and color, whereas peripheral vision occurs on the side with more fuzzy and colorless perception. This visual acuity fall-off can be used to achieve higher frame rates by adapting rendering quality to the human visual system. Volume raycasting has unique characteristics, preventing a direct transfer of many traditional foveated rendering techniques. We present an approach that utilizes the visual acuity fall-off to accelerate volume rendering based on Linde-Buzo-Gray sampling and natural neighbor interpolation. First, we measure gaze using a stationary 1200 Hz eye-tracking system. Then, we adapt our sampling and reconstruction strategy to that gaze. Finally, we apply a temporal smoothing filter to attenuate undersampling artifacts since peripheral vision is particularly sensitive to contrast changes and movement. Our approach substantially improves rendering performance with barely perceptible changes in visual quality. We demonstrate the usefulness of our approach through performance measurements on various data sets.","@inproceedings {10.2312:evs.20191172,
booktitle = {EuroVis 2019 - Short Papers},
editor = {Johansson, Jimmy and Sadlo, Filip and Marai, G. Elisabeta},
title = {{Voronoi-Based Foveated Volume Rendering}},
author = {Bruder, Valentin and Schulz, Christoph and Bauer, Ruben and Frey, Steffen and Weiskopf, Daniel and Ertl, Thomas},
year = {2019},
publisher = {The Eurographics Association},
ISBN = {978-3-03868-090-1},
DOI = {10.2312/evs.20191172}
}",,
"ClustMe: A Visual Quality Measure for Ranking Monochrome Scatterplots based on Cluster Patterns","CGF","2019-07-10",,"Mostafa Abbas","Michael Aupetit, Michael Sedlmair, Halima Bensmail","abbas2019eurovis","https://doi.org/10.1111/cgf.13684",,,,,,,"We propose ClustMe, a new visual quality measure to rank monochrome scatterplots based on cluster patterns. ClustMe is based on data collected from a human-subjects study, in which 34 participants judged synthetically generated cluster patterns in 1000 scatterplots. We generated these patterns by carefully varying the free parameters of a simple Gaussian Mixture Model with two components, and asked the participants to count the number of clusters they could see (1 or more than 1). Based on the results, we form ClustMe by selecting the model that best predicts these human judgments among 7 different state-of-the-art merging techniques (Demp). To quantitatively evaluate ClustMe, we conducted a second study, in which 31 human subjects ranked 435 pairs of scatterplots of real and synthetic data in terms of cluster patterns complexity. We use this data to compare ClustMe's performance to 4 other state-of-the-art clustering measures, including the well-known Clumpiness scagnostics. We found that of all measures, ClustMe is in strongest agreement with the human rankings.","@article{https://doi.org/10.1111/cgf.13684,
author = {Abbas, Mostafa M. and Aupetit, Michaël and Sedlmair, Michael and Bensmail, Halima},
title = {ClustMe: A Visual Quality Measure for Ranking Monochrome Scatterplots based on Cluster Patterns},
journal = {Computer Graphics Forum},
volume = {38},
number = {3},
pages = {225-236},
keywords = {CCS Concepts, • Human-centered computing → Visual analytics; Empirical studies in visualization, • Computing methodologies → Cluster analysis; Mixture modeling},
doi = {https://doi.org/10.1111/cgf.13684},
url = {https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13684},
eprint = {https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13684},
abstract = {Abstract We propose ClustMe, a new visual quality measure to rank monochrome scatterplots based on cluster patterns. ClustMe is based on data collected from a human-subjects study, in which 34 participants judged synthetically generated cluster patterns in 1000 scatterplots. We generated these patterns by carefully varying the free parameters of a simple Gaussian Mixture Model with two components, and asked the participants to count the number of clusters they could see (1 or more than 1). Based on the results, we form ClustMe by selecting the model that best predicts these human judgments among 7 different state-of-the-art merging techniques (Demp). To quantitatively evaluate ClustMe, we conducted a second study, in which 31 human subjects ranked 435 pairs of scatterplots of real and synthetic data in terms of cluster patterns complexity. We use this data to compare ClustMe's performance to 4 other state-of-the-art clustering measures, including the well-known Clumpiness scagnostics. We found that of all measures, ClustMe is in strongest agreement with the human rankings.},
year = {2019}
}

",,
